"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4"
"1",0,1288.19,0.0687,564.2664,16.78112,1.2061,1.8363,250,1.4784,0.7922,90,2.7719,0.1059,0.0038,0.0109,0.0864,0.0031,1.4518,0.9135,2.4914,2.8354,0,0,3.90778782104601e-05,0.000396968323907937,0.000982986386727225,0.00956174392760304,0.000392187118231042,0.000117656135469313,0.001009965,0.000217855
"2",1,1292.93199569527,0.0745372879202902,564.280190321593,16.7845317501929,1.2035293806719,1.83555434448804,250.00061383116,1.5521875158885,0.798794920334108,90.0000998821279,2.77201206837575,0.111033997854209,0.00391552720123951,0.0113387155807371,0.0871637047185955,0.00307375969266063,1.44908692415853,0.959417847952551,2.49180454546661,2.96079360447724,0,0,3.85130924731852e-05,0.000433945367811703,0.000982998294240628,0.00955755918484163,0.000396965797121495,0.000119089739136448,0.00100955488946842,0.00021966860309188
"3",2,1299.13100927336,0.076133195431569,564.300064369352,16.7890686615657,1.20299157615312,1.83473992066831,250.001225591807,1.56587398428789,0.806280444743604,90.000201309764,2.77216318800692,0.111963006722491,0.00394828815564714,0.0114631509493184,0.0879414879702454,0.00310118768363937,1.44851757692208,0.967877670597224,2.49178359890266,2.98402610071258,0,0,3.83822587326821e-05,0.000441375142101317,0.000983015454478535,0.00955340301010363,0.000398191953338506,0.000119457586001552,0.00100910695636757,0.000221727122304491
"4",3,1306.14614446734,0.0779039229554968,564.324781298318,16.7943063419938,1.20241689208277,1.83392993577788,250.001835630611,1.57947767123085,0.813730394820824,90.0003044085129,2.77233971622952,0.112881764389784,0.00398068754093618,0.0115592327960281,0.08871488262896,0.00312846091537262,1.44790911363109,0.976286274029235,2.49164769044061,3.00708562998683,0,0,3.82488800376428e-05,0.000448942806053216,0.000983036795668086,0.00954926952694833,0.000399511513910711,0.000119853454173213,0.00100866146467784,0.000223775858575727
"5",4,1313.92918130401,0.0798303179456233,564.354753838937,16.800228930477,1.20181677960273,1.83312425605453,250.002443869421,1.59301490432147,0.821144587142639,90.0004091443722,2.7725414998256,0.113792415355026,0.00401280104114553,0.0116530846676869,0.0894838737898109,0.00315557886091249,1.44727364245227,0.984653799953565,2.49144872311885,3.0300270053389,0,0,3.81193716864786e-05,0.000456665951753304,0.000983062673738816,0.00954516064295122,0.000400899459279214,0.000120269837783764,0.00100821834082999,0.000225814761464226
"6",5,1322.43556893831,0.0818967141222771,564.390351969494,16.8068214048382,1.20119962731821,1.83232276759122,250.003050253297,1.60648589995912,0.828523064889134,90.0005154903328,2.77276838930715,0.114695761619937,0.00404465693448628,0.0117460908802764,0.0902484704727357,0.0031825418384809,1.44662004685179,0.992980385246126,2.4912061836047,3.05285279463995,0,0,3.79995324042137e-05,0.000464556822898017,0.000983093407563787,0.00954107806055928,0.000402334746481408,0.000120700423944422,0.00100777752217517,0.000227843842844512
"7",6,1331.62346355914,0.0840934151802889,564.431930364621,16.81406946082,1.20057120328596,1.83152538693668,250.003654745592,1.61989054899936,0.835865857849225,90.0006234248996,2.77302023530423,0.115592295217208,0.00407627258571528,0.011838377505222,0.091008682895889,0.00320935020814194,1.44595442686302,1.00126596067881,2.49093257545712,3.07556345498632,0,0,3.78945618857094e-05,0.000472631450932629,0.000983129302639843,0.00953702340636074,0.000403801813452091,0.000121140544035627,0.00100733896281518,0.000229863110908537
"8",7,1341.45296813047,0.0864142635609997,564.479851509186,16.8219594552811,1.19993541986044,1.8307320526457,250.00425732295,1.63322864004916,0.843172979293976,90.0007329305822,2.77329688840965,0.116482366103327,0.0041076603322777,0.0119299899897606,0.0917645197758531,0.00323600427738829,1.44528092466833,1.00951039577537,2.49063636095413,3.0981590522499,0,0,3.78093989003304e-05,0.000480909843605542,0.000983170671019764,0.00953299833962989,0.000405288490230271,0.000121586547069081,0.00100690262895513,0.000231872569305844
"9",8,1351.88569074725,0.0888558709541775,564.53450564495,16.8304784123414,1.19929481001728,1.82994271887333,250.004857972572,1.64650009257869,0.850444419278586,90.0008439930651,2.7735981990197,0.117366206025088,0.00413882834802042,0.0120209553888138,0.0925159880372741,0.00326250429040982,1.44460222160496,1.01771364112822,2.49032302138416,3.12063972346884,0,0,3.77488948281109e-05,0.000489416677235357,0.000983217848502063,0.00952900464567666,0.000406785201528783,0.000122035560458635,0.00100646849538033,0.000233872215301611
"10",9,1362.88435732229,0.0914169771137936,564.596326248403,16.8396140110528,1.1986509174638,1.82915735017777,250.005456689764,1.65970460079613,0.857680147922036,90.0009566004668,2.77392401730459,0.118243941299856,0.00416978108728951,0.0121112903564055,0.0932630928412454,0.00328885042924051,1.44391995196476,1.02587550764145,2.48999588217211,3.14300512118113,0,0,3.77179442700129e-05,0.000498181788364319,0.000983271207952835,0.00952504430793286,0.000408284320155553,0.000122485296046666,0.00100603654259777,0.00023586204067856
"11",10,1374.41274562048,0.0940984189600574,564.665813773874,16.8493547247367,1.19800436513803,1.82837592067789,250.006053477773,1.67284179527771,0.864880105299926,90.0010707432821,2.77427419298939,0.11911560899178,0.0042005198575249,0.012201001177093,0.0940058364496452,0.00331504277366512,1.4432347751707,1.03399576696799,2.48965627033513,3.1652546922721,0,0,3.77215588384252e-05,0.000507241342587578,0.0009833311797482,0.00952111961851144,0.000409779930911895,0.000122933979273568,0.00100560675637284,0.00023784202895748
"12",11,1386.43526439678,0.096902906960426,564.743554543478,16.8596898217027,1.19735520863102,1.82759840997661,250.006648345412,1.68591122343634,0.872044197744504,90.0011864136579,2.77464857517091,0.119981182635308,0.00423104372587392,0.0122900870806689,0.0947442176873901,0.00334108128226819,1.44254674903641,1.04207413943588,2.48930427110928,3.18738767631407,0,0,3.77649451927969e-05,0.000516639007335927,0.000983398268008318,0.00951723326562575,0.000411267487217244,0.000123380246165173,0.00100517912548714,0.000239812154379739
"13",12,1398.91662498737,0.0998337633727705,564.830236756959,16.870609363341,1.19670320335492,1.82682480042866,250.007241305097,1.69891230228018,0.879172294475652,90.0013036047945,2.77504701212406,0.120840599766576,0.00426135048979525,0.0123785431284359,0.0954782313980687,0.0033669657732426,1.4418556137081,1.05011026474414,2.48893931044782,3.20940306040913,0,0,3.78534957575642e-05,0.000526426413478694,0.000983473064322922,0.00951338840716291,0.000412743005287339,0.000123822901586202,0.00100475364023576,0.000241772380980804
"14",13,1411.82172647887,0.102895585106654,564.926669267197,16.8821042898797,1.1960478687866,1.82605507709299,250.007832372309,1.71184430359053,0.886264220493226,90.0014223107714,2.77546935105361,0.121693759858054,0.00429143660458852,0.0124663604767657,0.0962078677341875,0.00339269589935749,1.44116085843335,1.05810369281822,2.48856028415935,3.23129955334817,0,0,3.79927315502676e-05,0.000536664956991901,0.000983556263835324,0.00950958875684756,0.000414203334774872,0.000124261000432462,0.00100433029240114,0.000243722660635637
