"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4"
"k_prod_PTHg...423.392",30000,28732.5264268568,0.221019434055006,2116.76130371032,23.8691889759517,2.01960360821691,3.07482789016633,279.504043305958,1.00026436352174,0.536015434418553,88.6597212272027,1.87549296600745,0.120071031190581,0.00423421793190878,0.012328903673994,0.0979791296773428,0.00345516302907509,2.24762615024904,0.61827363559219,4.11676391126237,2.07807215191041,0,0,5.18107941362899e-05,0.00072550477115041,0.00145707956778087,0.00104605252426071,0.000655756986892477,0.000196727096067743,0.00169115533959148,0.000147404244465102
"k_prod_PTHg...465.312",30000,29972.4084775281,0.23055698829215,2204.21541445184,23.7651420795432,2.03128375769274,3.0926103926941,279.662635648423,0.990969868737797,0.531034756579633,88.5965900068347,1.85806405328314,0.119643291293829,0.00421913399431649,0.0122849833011057,0.0976300762457454,0.00344285391267384,2.25817889199518,0.612528613285208,4.13851005827717,2.06254589061225,0,0,5.2526460786879e-05,0.000731953090974124,0.00146302747648723,0.00104884623895612,0.000658988730737153,0.000197696619221146,0.00170093571598176,0.000146034558059399
"k_prod_PTHg...507.232",30000,31186.5116288746,0.239896243306515,2285.99737309341,23.6740423319645,2.04131556574298,3.10788300539528,279.798664357003,0.982941923948222,0.526732789314455,88.5430629410387,1.84300970246723,0.119260139217366,0.00420562241390573,0.012245641207637,0.0973173974726145,0.00343182752225224,2.26722417920309,0.607566458486254,4.15715114778499,2.04911978527338,0,0,5.30634537674477e-05,0.000737492672571038,0.00146804323525519,0.00105120212565016,0.00066173178446108,0.000198519535338324,0.0017093356529674,0.000144851517061475
"k_prod_PTHg...549.152",30000,32382.8782054323,0.249099063131743,2363.40224604666,23.5948665229505,2.05004689047577,3.12117546956591,279.916452505307,0.976036439885943,0.523032318715257,88.4974120237561,1.83005951649587,0.118928826337695,0.00419393890521566,0.0122116219660518,0.0970470147668371,0.003422292672005,2.27508321196418,0.603298108145303,4.17336448964873,2.03756893524022,0,0,5.34640026344565e-05,0.000742268786824747,0.00147236268123804,0.00105323095633908,0.000664105806459097,0.000199231741937729,0.00171664650826125,0.000143833887646696
"k_prod_PTHg...591.072",30000,33566.8384679137,0.258206449772519,2437.3787463167,23.5264506371116,2.05772615627535,3.13286644332523,280.019209497601,0.970117111904324,0.519860303644798,88.458291945373,1.8189586524586,0.118650356612332,0.0041841188720814,0.012183028665268,0.0968197609159558,0.00341427872958227,2.28198480858631,0.599639310966023,4.18762846901143,2.02767392702002,0,0,5.37588701765141e-05,0.000746398749300307,0.00147614527708339,0.00105500763014523,0.000666192155962096,0.000199857646788629,0.00172307654382888,0.00014296158350232
"k_prod_PTHg...632.992",30000,34742.015782289,0.267246275277062,2508.5727274119,23.4675778702545,2.06453271486698,3.14322852160872,280.109415010706,0.965055756628804,0.517148053348725,88.4246299949819,1.80946624795198,0.118421751633506,0.00417605728311006,0.0121595554798516,0.0966331910230319,0.00340769947746388,2.28809389043399,0.596510835493237,4.20028396969743,2.01922395651851,0,0,5.39709526917261e-05,0.000749977832210924,0.00147949992484745,0.00105658329803441,0.000668047040881998,0.000200414112264599,0.0017287756868848,0.000142215714670899
"k_prod_PTHg...674.912",30000,35910.5453023014,0.276234963906413,2577.47353517058,23.4170950634192,2.0706058917431,3.15247393982034,280.189012694466,0.960737605741695,0.514834066572534,88.395558815259,1.8013672657216,0.118238671398039,0.0041696010912336,0.0121407567782207,0.0964837669874492,0.00340243014709512,2.29353826157136,0.593841742255722,4.21159318258197,2.01202837726491,0,0,5.41177542998861e-05,0.000753086200993678,0.00148250592160608,0.00105799520560286,0.000669711596777347,0.000200913479033204,0.00173386066690119,0.000141579368307447
"k_prod_PTHg...716.832",30000,37073.6195627359,0.285181689001676,2644.43079521596,23.3739232729168,2.07605424678506,3.16076793640419,280.25957769495,0.957059687108722,0.512863163350156,88.3703644538306,1.79446867321114,0.118095956187237,0.00416456834271025,0.0121261027604386,0.0963672771915201,0.00339832221882905,2.29841731131634,0.591568383123933,4.22175818539181,2.00591469752304,0,0,5.42128483194842e-05,0.000755791454380741,0.00148522151399987,0.00105927071112115,0.000671216355094291,0.000201364906528287,0.0017384223650223,0.000141037369921293
"k_prod_PTHg...758.752",30000,38231.5421161574,0.294088785585246,2709.72961098736,23.3370908516242,2.08096712590131,3.1682468555572,280.322417758867,0.953931798299139,0.511187007060693,88.3484499797085,1.78860164174892,0.117988546446775,0.00416078061602244,0.0121150739122575,0.0962796026460172,0.00339523043949477,2.30281263529481,0.589635003052715,4.23094416217116,2.00073120232692,0,0,5.42669693334406e-05,0.000758151314648703,0.00148769198524404,0.00106043108397826,0.000672585128750061,0.000201775538625018,0.00174253577055646,0.000140576426941691
"k_prod_PTHg...800.672",30000,39384.6248256528,0.302958652607561,2773.51438982116,23.3056986621211,2.08541281719119,3.17501410407557,280.378610235802,0.951272644888329,0.509762033347553,88.3293226613792,1.78361334992994,0.117911008451606,0.00415804629479186,0.0121071122957266,0.0962162922241649,0.00339299784333073,2.30678655387069,0.587991353126502,4.23927553810415,1.99634016505695,0,0,5.42885320180328e-05,0.000760214604417553,0.00148995002501003,0.0010614916784138,0.000673835647191687,0.000202150694157506,0.00174625775724156,0.000140184559170577
