"","time","PTH_g","PTH_p","D3_p","FGF_p","Ca_p","Ca_f","Ca_b","PO4_p","PO4_f","PO4_b","PO4_c","CaHPO4_p","CaH2PO4_p","CPP_p","CaHPO4_f","CaH2PO4_f","CaProt_p","NaPO4_p","Ca_tot","PO4_tot","EGTA_p","CaEGTA_p","U_Ca","U_PO4","Abs_int_Ca","Abs_int_PO4","Res_Ca","Res_PO4","Ac_Ca","Ac_PO4","Reabs_Ca","Reabs_PO4","Ca_pf","Ca_fp","PO4_pf","PO4_fp","PO4_pc","PO4_cp"
"11",10,1288.06832850487,0.0688142994192536,564.268398676215,16.781193114521,1.20606168941544,1.83627380394236,250.006176771799,1.47828192485868,0.792172852306271,90.0010016550766,2.77189878675717,0.105970283272207,0.00373696527192386,0.0108810401480437,0.0864754566923593,0.003049494334961,1.45176674607771,0.913741180326077,2.49131672418532,2.83551139387693,0,0,3.90633391971478e-05,0.000396989287156297,0.000982988112535432,0.000823373204372703,0.00039228636693847,0.000117685910081541,0.0010099505921683,0.000217847534384225,0.00259247453672198,0.00460647142030148,0.00530667143342792,0.00429688070122513,0.199568059855922,0.199350298282873,0.00277177860911003,0.00277189878675717
"12",11,1288.05667655035,0.0688145670884528,564.268642898244,16.7812007789601,1.20606125576996,1.83627365835047,250.006794435781,1.47828179216126,0.792172781426079,90.00110181663,2.7718986665152,0.105970235651995,0.00373696359256821,0.0108810347642643,0.086475442098606,0.00304949382032331,1.45176628717818,0.913741098304402,2.49131577695697,2.83551112447448,0,0,3.90632798424361e-05,0.000396989738804814,0.000982988323414889,0.000823373303422145,0.000392286700625997,0.000117686010187799,0.00100995051209276,0.000217847514892172,0.00259247363018661,0.00460647044061563,0.00530666952538782,0.00429688036054009,0.199568041941769,0.199350280445873,0.00277177836030235,0.0027718986665152
"13",12,1288.04538605973,0.0688146729425682,564.268887420123,16.7812085073442,1.20606091030428,1.83627351161407,250.007412099451,1.47828165933104,0.792172710536247,90.0012019780948,2.77189854614463,0.105970195771583,0.00373696218616682,0.0108810300884387,0.0864754274498949,0.00304949330374746,1.45176592159645,0.913741016200703,2.49131501994692,2.83551086357793,0,0,3.90632438200259e-05,0.00039699016752296,0.000982988534553189,0.000823373402593165,0.000392286895274537,0.000117686068582361,0.00100995043138774,0.000217847495397468,0.00259247289270403,0.00460646949945603,0.00530666800533881,0.00429688001717691,0.199568024009691,0.199350262606447,0.0027717781112457,0.00277189854614463
"14",13,1288.03446016025,0.0688146599141461,564.269131853654,16.7812162987457,1.20606063219674,1.83627336402795,250.008029762915,1.47828152635186,0.792172639610923,90.0013021395024,2.77189842564528,0.105970161799979,0.00373696098814727,0.0108810263272906,0.0864754127572886,0.00304949278562361,1.45176562729757,0.913740934004996,2.49131440860973,2.83551060947227,0,0,3.90632251178435e-05,0.000396990580399175,0.000982988745615136,0.000823373501728321,0.0003922869876435,0.00011768609629305,0.00100995035021538,0.000217847475893004,0.0025924722848519,0.00460646858589079,0.00530666678166567,0.00429687967182541,0.199568006057501,0.199350244758089,0.00277177786190973,0.00277189842564528
"15",14,1288.02389836698,0.0688145586972874,564.269375928504,16.7812241521642,1.20606040649842,1.8362732158058,250.008647426246,1.47828139318003,0.792172568631381,90.001402300875,2.77189830501696,0.105970132420312,0.00373695995206819,0.0108810231573258,0.0864753980288069,0.00304949226623459,1.45176538846144,0.913740851690204,2.49131391048956,2.83551036039994,0,0,3.90632194333742e-05,0.000396990982464706,0.000982988956367302,0.000823373600717975,0.000392287004016037,0.000117686101204811,0.00100995026869319,0.00021784745637363,0.00259247177830822,0.00460646769202052,0.00530666578859303,0.00429687932498556,0.199567988079304,0.199350226896087,0.00277177761221256,0.00277189830501696
"16",15,1288.0136982516,0.068814389426956,564.269619472773,16.7812320666828,1.2060602233444,1.83627306709021,250.00926508949,1.47828125980785,0.792172497584446,90.0015024622265,2.77189818425949,0.10597010676509,0.00373695904733634,0.0108810204291647,0.0864753832697287,0.00304949174576656,1.45176519464833,0.913740769251572,2.49131350423433,2.83551011530102,0,0,3.90632239402984e-05,0.000396991377013124,0.000982989166661257,0.000823373699492409,0.000392286961635569,0.000117686088490671,0.00100995018689962,0.000217847436835723,0.00259247135437335,0.00460646681273058,0.00530666498271536,0.00429687897699109,0.19956797007406,0.199350209017126,0.00277177736213972,0.00277189818425949
"17",16,1288.00385467572,0.068814176859857,564.26986228067,16.7812400409062,1.2060600705484,1.836272918059,250.009882752703,1.47828112622118,0.792172426453399,90.0016026235736,2.77189806337261,0.105970083762354,0.0037369582361476,0.0108810179890252,0.0864753684866032,0.00304949122445048,1.45176503296184,0.913740686680366,2.49131316349777,2.83550987288907,0,0,3.906323515957e-05,0.000396991768074356,0.000982989376319307,0.000823373797968159,0.000392286881705958,0.000117686064511787,0.00100995010493245,0.000217847417274685,0.00259247098993424,0.00460646594172574,0.00530666431041297,0.00429687862825806,0.199567952039859,0.199350191116998,0.00277177711166471,0.00277189806337261
"18",17,1287.99435994485,0.0688139409958349,564.270104195141,16.7812480732645,1.20605993817296,1.83627276885979,250.010500415928,1.47828099240606,0.792172355223791,90.0017027849294,2.77189794235598,0.105970062537785,0.00373695748766795,0.0108810157368388,0.0864753536848067,0.00304949070247597,1.45176489288543,0.913740603967957,2.49131286682069,2.8355096321363,0,0,3.90632502741629e-05,0.000396992158874031,0.000982989585205841,0.000823373896081531,0.000392286781360834,0.00011768603440825,0.00100995002287289,0.000217847397686543,0.00259247066612267,0.0046064650739249,0.00530666372796103,0.00429687827913191,0.199567933974818,0.199350173192067,0.00277177686076136,0.00277189794235599
"19",18,1287.98520417595,0.0688136917373724,564.270345154176,16.781256162219,1.20605982113894,1.83627261957252,250.011118079182,1.47828085835202,0.792172283886868,90.0018029462988,2.77189782120931,0.105970042644274,0.00373695678612949,0.0108810136463251,0.0864753388671482,0.00304949017994208,1.45176476904403,0.913740521107876,2.49131260325971,2.83550939253662,0,0,3.90632678782658e-05,0.0003969925509582,0.000982989793267315,0.000823373993807375,0.000392286669090206,0.000117686000727062,0.00100994994076489,0.000217847378068889,0.00259247037326043,0.0046064642068224,0.00530666321301135,0.0042968779297997,0.199567915877523,0.19935015524013,0.00277177660941004,0.00277189782120931
"20",19,1287.97637533849,0.0688134352848646,564.270585134151,16.7812643060654,1.20605971611718,1.83627247025375,250.011735742471,1.47828072405062,0.792172212435587,90.0019031076839,2.77189769993223,0.105970023788646,0.00373695612119297,0.010881011680293,0.0864753240355229,0.00304948965691565,1.45176465791447,0.913740438094897,2.49131236562179,2.83550915373565,0,0,3.90632870812934e-05,0.000396992945246022,0.000982990000483332,0.000823374091136111,0.000392286550216528,0.000117685965064958,0.00100994985863956,0.000217847358419787,0.00259247010497275,0.00460646333886469,0.0053066627509156,0.00429687758039378,0.199567897746833,0.199350137259416,0.00277177635759491,0.00277189769993223
